"","Species","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","NA","TD0","TD1","TD2","TD3","TD4","Fresh","Moist","Wet","SMR_Ind"
"28","ACONCOL",0,0,0,0,0,0,0.0379746835443038,0,0.0379746835443038,0.0126582278481013,0.177215189873418,0.10126582278481,0.253164556962025,0.0379746835443038,0.0506329113924051,0.0886075949367089,0.20253164556962,0,0,0,0,0.0379746835443038,0.227848101265823,0.392405063291139,0.139240506329114,"M"
"29","ACONDEL",0,0,0,0.00143061516452074,0,0.00429184549356223,0.011444921316166,0.0357653791130186,0.0472103004291846,0.050071530758226,0.0286123032904149,0.055793991416309,0.0600858369098712,0.0400572246065808,0.0300429184549356,0.0243204577968526,0.610872675250358,0,0,0.00143061516452074,0.00572246065808298,0.0529327610872675,0.125894134477825,0.155937052932761,0.0543633762517883,""
"32","ACTARUB",0,0,0,0.000628733102797862,0.000628733102797862,0.00440113171958504,0.0386670858220685,0.0855077019805093,0.111914492298019,0.0946243319710783,0.152467777428482,0.158440741905061,0.148381012260296,0.0339515875510846,0.0160326941213455,0.0223200251493241,0.132033951587551,0,0,0.000628733102797862,0.00565859792518076,0.129833385727759,0.359006601697579,0.340773341716441,0.0383527192706696,"X"
"33","ADENBIC",0,0,0.00233100233100233,0.0034965034965035,0.0326340326340326,0.0780885780885781,0.0699300699300699,0.110722610722611,0.110722610722611,0.134032634032634,0.0909090909090909,0.0757575757575758,0.0629370629370629,0.0221445221445221,0.00466200466200466,0.0163170163170163,0.185314685314685,0,0,0.00582750582750583,0.116550116550117,0.297202797202797,0.335664335664336,0.160839160839161,0.020979020979021,"X"
"35","ADIAALE",0,0,0,0.00558659217877095,0.00558659217877095,0,0.0335195530726257,0.0111731843575419,0.0502793296089385,0.11731843575419,0.17877094972067,0.111731843575419,0.189944134078212,0.0391061452513966,0.0279329608938547,0.0670391061452514,0.162011173184358,0,0,0.00558659217877095,0.0111731843575419,0.0558659217877095,0.346368715083799,0.340782122905028,0.0949720670391061,"M"
"38","ADOXMOS",0,0,0,0,0,0,0,0.133333333333333,0.133333333333333,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.2,0.133333333333333,0.0666666666666667,0.133333333333333,0,0,0,0,0,0.133333333333333,0.266666666666667,0.4,0.2,"X"
"40","AGOSAUR",0.00512820512820513,0,0.0205128205128205,0.0153846153846154,0.041025641025641,0.0307692307692308,0.0358974358974359,0.0358974358974359,0.0461538461538462,0.0256410256410256,0.0307692307692308,0,0.0102564102564103,0,0.0102564102564103,0.00512820512820513,0.687179487179487,0.00512820512820513,0.0102564102564103,0.0461538461538462,0.117948717948718,0.18974358974359,0.102564102564103,0.0102564102564103,0.0153846153846154,""
"41","AGOSERI",0.0232558139534884,0.0348837209302326,0.0348837209302326,0.0465116279069767,0.0697674418604651,0.104651162790698,0.104651162790698,0.0348837209302326,0,0.0232558139534884,0.0116279069767442,0.0116279069767442,0.0348837209302326,0,0,0.0232558139534884,0.441860465116279,0.0232558139534884,0.0813953488372093,0.162790697674419,0.337209302325581,0.476744186046512,0.0348837209302326,0.0465116279069767,0.0232558139534884,"TD3"
"42","AGOSGLA",0.00240384615384615,0.00961538461538462,0.0240384615384615,0.0576923076923077,0.0793269230769231,0.0985576923076923,0.0961538461538462,0.0600961538461538,0.0336538461538462,0.0408653846153846,0.0216346153846154,0.00961538461538462,0.00961538461538462,0,0.00240384615384615,0.00240384615384615,0.451923076923077,0.00240384615384615,0.0144230769230769,0.0961538461538462,0.274038461538462,0.430288461538462,0.0961538461538461,0.0192307692307692,0.00480769230769231,"TD3"
"48","AGROCAP",0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0.166666666666667,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0.25,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.0833333333333333,"X"
