,Species,SMR_Ind,Exceptions
1098,DRABCIN,,
1099,DRABCOR,,
1100,DRABCRA,,
1101,DRABDEN,,
1102,DRABGLA,,
1103,DRABGRA,TD4,
1104,DRABINC,,
1105,DRABJUV,,
1106,DRABLAC,,
1107,DRABLON,,
1108,DRABMAC,,
1109,DRABNEM,TD0,
1110,DRABNIV,,
1111,DRABNOV,,
1112,DRABOLI,,
1113,DRABPOR,,
1114,DRABPRA,,
1115,DRABRUA,,
1116,DRABSTE,X,
1117,DRABVEN,,
1118,DRABVER,TD0,
1119,DRACPAR,X,
1120,DRACTHY,TD3,
1121,DREPADU,W,
1122,DREPANO,W,
1123,DREPCRA,X,
1124,DREPLON,W,
1125,DREPPOL,,
1126,DREPSEN,W,
1127,DREPSOR,,
1128,DROSANG,W,
1129,DROSERA,W,
1130,DROSROT,W,
1131,DRYADRU,X,
1132,DRYAINT,,
1133,DRYAOCT,,
1134,DRYAS,X,
1135,DRYMCON,TD1,
1136,DRYMGLA,TD2,
1137,DRYOARG,M,
1138,DRYOCAR,M,
1139,DRYOCRI,X,
1140,DRYOEXP,M,
1141,DRYOFIL,M,
1142,DRYOFRA,X,
1143,DRYOPTE,F,
1144,DRYPPAT,TD2,
1145,DULIARU,W,VW
1146,DULICHI,,
1147,ECHICRU,,
1148,ECHIVUL,TD2,
1149,ELAEANG,X,
1150,ELAECOM,TD3,
1151,ELEOACI,,
1152,ELEOCHA,X,
1153,ELEOELL,,
1154,ELEOKAM,,
1155,ELEOMAM,,
1156,ELEOOBT,W,
1157,ELEOPAL,W,VW
1158,ELEOQUI,W,
1159,ELEOROS,,
1160,ELEOSUK,,
1161,ELLINYC,TD2,
1162,ELLIPYR,X,
1163,ELYMALA,,
1164,ELYMALB,TD3,
1165,ELYMCAN,X,
1166,ELYMELY,TD3,
1167,ELYMGLA,X,
1168,ELYMHIR,X,
1169,ELYMLAN,X,
1170,ELYMREP,TD3,
1171,ELYMSIB,M,
1172,ELYMTRA,TD3,
1173,ELYMUS,X,
1174,ELYMVIO,F,
1175,ELYMXSA,TD2,
1176,EMPENIG,X,
1177,EMPETRU,,
1178,ENCAAFF,TD3,
1179,ENCAALP,,
1180,ENCABRE,,
1181,ENCACIL,TD3,
1182,ENCALYP,TD1,
1183,ENCAPRO,TD4,
1184,ENCARHA,TD1,
1185,ENCASPA,M,
1186,ENCAVUL,TD1,
1187,ENDOPUL,,
1188,ENDOPUS,TD0,
1189,ENEMSAV,,
1190,EPILANA,,
1191,EPILBRA,TD1,
1192,EPILCIL,W,
1193,EPILCLA,,
1194,EPILDAV,W,X
1195,EPILGLA,M,
1196,EPILHAL,W,X
1197,EPILHOR,W,X
1198,EPILLAC,M,
1199,EPILLEP,X,
1200,EPILLET,M,
1201,EPILLUT,W,X
1202,EPILMIN,X,
1203,EPILOBI,X,
1204,EPILPAL,W,X
1205,EPIPGIG,,
1206,EQUIARV,M,
1207,EQUIFLU,W,VW
1208,EQUIHYE,X,
1209,EQUILAE,X,
1210,EQUIPAL,W,
1211,EQUIPRA,M,
1212,EQUISCI,X,
1213,EQUISET,M,
1214,EQUISYL,M,
1215,EQUITEL,X,
1216,EQUIVAR,W,
1217,EREMCAP,TD4,
1218,ERICACE,M,
1219,ERICAME,TD0,
1220,ERICNAU,TD0,
1221,ERIGACR,X,
1222,ERIGANN,,
1223,ERIGAUR,,
1224,ERIGCAE,TD4,
1225,ERIGCOM,TD1,
1226,ERIGCOR,TD1,
1227,ERIGDIV,TD1,
1228,ERIGERO,X,
1229,ERIGFIL,TD0,
1230,ERIGFLA,TD1,
1231,ERIGGLA,,
1232,ERIGGLC,,
1233,ERIGGRA,X,
1234,ERIGHUM,,
1235,ERIGLAN,F,
1236,ERIGLEI,,
1237,ERIGLIN,TD0,
1238,ERIGLON,X,
1239,ERIGNIV,F,
1240,ERIGOCH,,
1241,ERIGPAL,X,
1242,ERIGPER,,
1243,ERIGPHI,X,
1244,ERIGPOL,TD0,
1245,ERIGPUM,TD2,
1246,ERIGSPE,TD2,
1247,ERIGSTR,TD1,
1248,ERIGTRI,,
1249,ERIGUNI,,
1250,ERIOAND,W,
1251,ERIOANG,W,
1252,ERIOBRA,W,
1253,ERIOCHA,W,VW
1254,ERIODER,,
1255,ERIOFLA,,
1256,ERIOGON,TD1,
1257,ERIOGRA,W,
1258,ERIOHER,TD1,
1259,ERIOLAN,TD2,
1260,ERIONIV,TD0,
1261,ERIOOVA,TD3,
1262,ERIOPAU,W,
1263,ERIOPHO,W,
1264,ERIOPHY,W,
1265,ERIOSCH,W,VW
1266,ERIOSTR,TD4,
1267,ERIOUMB,TD3,
1268,ERIOVAG,W,
1269,ERIOVIG,M,
1270,ERIOVIR,W,
1271,ERODCIC,TD0,
1272,ERYSCAP,TD2,
1273,ERYSCHE,TD1,
1274,ERYSIMU,X,
1275,ERYSINC,TD0,
1276,ERYTBRW,TD2,
1277,ERYTGRA,TD4,
1278,ERYTGUT,W,
1279,ERYTHRO,X,
1280,ERYTLEW,W,
1281,ERYTMON,TD3,
1282,ERYTMOS,W,
1283,ERYTORE,X,
1284,ERYTREV,X,
1285,EUCEENG,X,
1286,EUPHESU,TD2,
1287,EUPHORB,F,
1288,EUPHRAS,,
1289,EUPHSUB,F,
1290,EURHORE,X,
1291,EURHPRA,M,
1292,EURHPUL,X,
1293,EURHYNC,X,
1294,EURYCON,TD4,
1295,EURYMER,,
1296,EURYRAD,X,
1297,EURYSIB,X,
1298,EUTHOCC,TD3,
1299,EUTREDW,,
1300,EVERMES,TD4,
1301,EVERPRU,X,
1302,FABACEA,,
1303,FALLCON,TD2,
1304,FELLHAN,M,
1305,FESTALT,,
1306,FESTBAF,,
1307,FESTBRA,,
1308,FESTCAM,TD1,
1309,FESTFIL,TD3,
1310,FESTIDA,TD2,
1311,FESTMIN,,
1312,FESTOCC,TD3,
1313,FESTOVI,,
1314,FESTRUB,X,
1315,FESTSAX,TD3,
1316,FESTSUB,M,
1317,FESTSUU,X,
1318,FESTTRA,TD3,
1319,FESTUCA,TD3,
1320,FESTVII,,
1321,FESTVIR,,
1322,FILAVUL,TD0,
1323,FISSADI,,
1324,FISSBRY,X,
1325,FISSGRA,M,
1326,FISSIDE,M,
1327,FLAVCUC,,
1328,FLAVFLA,TD0,
1329,FLAVNIV,,
1330,FLAVOCE,TD4,
1331,FLAVOPU,TD3,
1332,FONTANT,M,
1333,FONTINA,M,
1334,FONTNEO,F,
1335,FRAGARI,TD4,
1336,FRAGCHI,TD4,
1337,FRAGVES,TD3,
1338,FRAGVIR,X,
1339,FRANPUR,X,
1340,FRITAFF,TD2,
1341,FRITCAM,W,
1342,FRITILL,TD4,
1343,FRITPUD,TD1,
1344,FRULHAT,M,
1345,FRULLAN,X,
1346,FRULNIS,,
1347,FUCUS,W,
1348,FULGBRA,TD0,
1349,FULGENS,TD4,
1350,FUMARIA,TD4,
1351,FUNAHYG,X,
1352,FUNARIA,TD3,
1353,GADELAC,,
1354,GAILARI,TD1,
1355,GAILLAR,,
1356,GALEOPS,W,
1357,GALEROT,W,
1358,GALETET,X,
1359,GALIAPA,X,
1360,GALIBIF,X,
1361,GALIBOR,X,
1362,GALIKAM,M,
1363,GALILAB,W,
1364,GALINSO,TD4,
1365,GALIPAL,W,
1366,GALISPU,TD0,
1367,GALITRD,X,
1368,GALITRF,X,
1369,GALIUM,X,
1370,GAULHIS,X,
1371,GAULHUM,,
1372,GAULOVA,X,
1373,GAULSHA,X,
1374,GAULTHE,TD4,
1375,GAURA,TD4,
1376,GAYODIF,TD3,
1377,GAYOPHY,,
1378,GENTAFF,X,
1379,GENTAMA,TD4,
1380,GENTDOU,W,
1381,GENTGLA,,
1382,GENTIAA,,
1383,GENTIAE,,
1384,GENTIAN,X,
1385,GENTPLA,,
1386,GENTPRP,,
1387,GENTPRS,,
1388,GENTSCE,W,
1389,GENTVIR,,
1390,GEOCAUL,X,
1391,GEOCGRA,W,
1392,GEOCLIV,X,
1393,GERABIC,X,
1394,GERACAR,TD4,
1395,GERADIS,,
1396,GERAERI,F,
1397,GERAMOL,TD2,
1398,GERANIU,X,
1399,GERARIC,X,
1400,GERAROB,X,
1401,GERAVIS,TD3,
1402,GEUM,X,
1403,GEUMALE,X,
1404,GEUMCAL,W,
1405,GEUMMAC,M,
1406,GEUMRIV,W,
1407,GEUMROS,TD3,
1408,GEUMTRI,TD2,
1409,GILIA,TD0,
1410,GLECHED,F,
1411,GLEHLIT,X,
1412,GLYCBOR,W,VW
1413,GLYCELA,W,
1414,GLYCERI,W,
1415,GLYCGRA,W,VW
1416,GLYCLEI,TD4,
1417,GLYCLEP,,
1418,GLYCMAX,,
1419,GLYCPUL,X,
1420,GLYCSTR,W,
1421,GNAPHAL,TD0,
1422,GNAPPAL,TD2,
1423,GOODOBL,X,
1424,GOODREP,X,
1425,GOODYER,,
1426,GOWANIG,,
1427,GRIMANO,TD0,
1428,GRIMATT,,
1429,GRIMELA,TD3,
1430,GRIMLON,TD4,
1431,GRIMMIA,TD0,
1432,GRIMMON,TD2,
1433,GRIMOVA,TD1,
1434,GRIMPUL,TD0,
1435,GRIMRAM,TD3,
1436,GRIMSES,,
1437,GRIMTRI,TD3,
1438,GRINSQU,X,
1439,GYMNBRE,,
1440,GYMNCON,TD3,
1441,GYMNCOR,,
1442,GYMNCOT,M,
1443,GYMNDIS,X,
1444,GYMNDRY,M,
1445,GYMNINF,W,
1446,GYMNOBT,TD3,
1447,GYMNOCA,F,
1448,GYMNOCO,,
1449,GYPSMAC,,
1450,GYROUND,X,
1451,HACKCIL,,
1452,HACKDEF,TD3,
1453,HACKDIF,,
1454,HACKELI,TD1,
1455,HACKFLO,X,
1456,HACKMIC,F,
1457,HAEMATO,,
1458,HALECYM,X,
1459,HALEDEF,X,
1460,HAMAVER,W,
1461,HAPLOMI,,
1462,HARPFLO,W,
1463,HARRSTE,,
1464,HEDEHEL,X,
1465,HEDEHIS,,
1466,HEDWCIL,TD2,
1467,HEDWIGA,TD3,
1468,HEDWIGI,X,
1469,HEDYALP,X,
1470,HEDYBOR,X,
1471,HEDYOCC,M,
1472,HEDYSAR,TD3,
1473,HEDYSUL,TD4,
1474,HELEAUT,M,
1475,HELIANT,TD2,
1476,HELIUNI,X,
1477,HELOBLA,W,
1478,HELODIU,W,
1479,HEMICON,X,
1480,HEMIMIN,TD2,
1481,HEMIRAN,TD3,
1482,HENNHEI,X,
1483,HEPPIA,,
1484,HEPPLUT,TD2,
1485,HERACLE,M,
1486,HERAMAX,M,
1487,HERBADU,W,
1488,HERBERT,W,
1489,HERZOGI,W,
1490,HERZSEL,TD3,
1491,HERZSTR,M,
1492,HERZTUR,F,
1493,HESPCOM,TD0,
1494,HESPCUR,TD2,
1495,HESPSPA,TD2,
1496,HETEDIM,TD4,
1497,HETEMAC,X,
1498,HETEPRO,X,
1499,HETEROL,X,
1500,HETEVIL,TD1,
1501,HEUCCHL,TD3,
1502,HEUCCYL,TD1,
1503,HEUCGLA,X,
1504,HEUCHER,X,
1505,HEUCMIC,TD2,
1506,HEUCRIC,TD4,
1507,HIERALI,TD3,
1508,HIERLAC,,
1509,HIERMAC,M,
1510,HIERMUR,TD2,
1511,HIERSCO,TD2,
1512,HIERTRI,,
1513,HIERUMB,TD3,
1514,HIPPMON,,
1515,HIPPVUL,W,VW
1516,HOLCLAN,X,
1517,HOLODIC,TD3,
1518,HOLODIU,TD3,
1519,HOLOUMB,TD0,
1520,HOMAAEN,TD1,
1521,HOMAFUL,X,
1522,HOMALIA,TD4,
1523,HOMALOH,TD1,
1524,HOMANEV,M,
1525,HOMANUT,M,
1526,HOMAPIN,TD4,
1527,HONKPEP,TD4,
1528,HOOKACU,,
1529,HOOKERI,F,
1530,HOOKLUC,M,
1531,HORDBRA,W,
1532,HORDEUM,,
1533,HORDJUB,X,
1534,HORDVUL,TD3,
1535,HUPECON,M,
1536,HUPEMIY,W,
1537,HUPEOCC,M,
1538,HUPERZI,W,
1539,HUPESEL,F,
1540,HYDRCAP,TD2,
1541,HYDRFEN,X,
1542,HYDROPH,X,
1543,HYGRBES,M,
1544,HYGRDUR,M,
1545,HYGRLUR,M,
1546,HYGRMOL,,
1547,HYGROCH,,
1548,HYGROHY,,
1549,HYGRTEN,X,
1550,HYLOCOA,M,
1551,HYLOCOM,X,
1552,HYLOPYE,M,
1553,HYLOSPL,X,
1554,HYLOUMR,W,
1555,HYMEREC,,
1556,HYPEANA,W,
1557,HYPEAND,TD3,
1558,HYPEPER,TD1,
1559,HYPERIC,X,
1560,HYPESCO,X,
1561,HYPNBAM,W,
1562,HYPNCAL,M,
1563,HYPNCIR,X,
1564,HYPNCUP,TD2,
1565,HYPNDIE,M,
1566,HYPNLIN,W,
1567,HYPNPAL,TD3,
1568,HYPNPRA,W,
1569,HYPNREC,,
1570,HYPNREV,TD3,
1571,HYPNSUB,X,
1572,HYPNUM,X,
1573,HYPNVAU,TD1,
1574,HYPOAUS,M,
1575,HYPODUP,M,
1576,HYPOENT,F,
1577,HYPOFLA,M,
1578,HYPOGYM,TD4,
1579,HYPOIMS,M,
1580,HYPOMON,X,
1581,HYPOOCC,TD4,
1582,HYPOPHY,X,
1583,HYPORAD,X,
1584,HYPOSUO,,
1585,ICMADOP,TD3,
1586,ICMAERI,X,
1587,ILEX,X,
1588,ILEXAQU,X,
1589,IMPACAP,M,
1590,IMPAECO,W,
1591,IMPAGLA,,
1592,IMPANOL,W,
1593,IMPAPAR,M,
1594,IMPATIE,W,
1595,IONASTE,TD3,
1596,IPOMAGG,TD0,
1597,IRIS,M,
1598,IRISPSE,F,
1599,ISOEOCC,,
1600,ISOETES,W,VW
1601,ISOLCER,,
1602,ISOPPUL,,
1603,ISOPTER,,
1604,ISOTHEC,X,
1605,ISOTMYO,X,
1606,JUNCACE,TD4,
1607,JUNCALP,W,
1608,JUNCARC,X,
1609,JUNCART,,
1610,JUNCBAL,X,
1611,JUNCBIG,,
1612,JUNCBOL,,
1613,JUNCBUF,W,
1614,JUNCBUL,M,
1615,JUNCCAN,,
1616,JUNCCAS,,
1617,JUNCCOV,W,
1618,JUNCDRU,,
1619,JUNCDUD,TD4,
1620,JUNCEFF,M,
1621,JUNCENS,W,
1622,JUNCFAL,W,
1623,JUNCFIL,W,
1624,JUNCLON,W,
1625,JUNCMER,,
1626,JUNCNEV,W,
1627,JUNCNOD,W,
1628,JUNCPAR,,
1629,JUNCREG,X,
1630,JUNCSTY,,
1631,JUNCSUP,W,
1632,JUNCTEN,X,
1633,JUNCTRI,,
1634,JUNCUS,,
1635,JUNCVAS,W,
1636,JUNGATR,X,
1637,JUNGERM,,
1638,JUNICOM,TD3,
1639,JUNIHOR,TD3,
1640,JUNIPER,TD2,
1641,JUNISCO,TD2,
1642,KAERCAL,,
1643,KALMIA,X,
1644,KALMMIC,W,
1645,KALMPRO,X,
1646,KIAEBLY,X,
1647,KIAEFAL,X,
1648,KIAEGLA,M,
1649,KIAERIA,,
1650,KIAESTA,X,
1651,KOBRESI,,
1652,KOBRMYO,,
1653,KOBRSIB,,
1654,KOBRSIM,,
1655,KOELERI,X,
1656,KOELMAC,TD1,
1657,KOENISL,,
1658,KOPSHOO,TD4,
1659,KURZIA,W,
1660,KURZPAU,M,
1661,KURZSYL,W,
1662,LACTBIE,,
1663,LACTSER,TD0,
1664,LACTUCA,X,
1665,LAMIACE,M,
1666,LAPPOCC,TD1,
1667,LAPPSQU,TD2,
1668,LAPPULA,TD1,
1669,LARIDEC,,
1670,LARILAR,W,
1671,LARILYA,,
1672,LARIOCC,TD4,
1673,LARIX,TD4,
1674,LATHJAP,TD4,
1675,LATHLAN,TD3,
1676,LATHLIT,X,
1677,LATHNEV,TD4,
1678,LATHOCH,TD4,
1679,LATHPAL,W,
1680,LATHPRA,TD3,
1681,LATHSYL,F,
1682,LATHYRU,TD4,
1683,LECAFRU,TD3,
1684,LECAHAS,TD2,
1685,LECANAC,,
1686,LECANOA,TD0,
1687,LECANOR,,
1688,LECIDEA,TD2,
1689,LECIDEU,,
1690,LECIEUP,,
1691,LECIFUU,TD3,
1692,LECILUR,TD0,
1693,LECISTI,,
1694,LECISUI,TD1,
1695,LECIWUL,,
1696,LEDUM,W,
1697,LEMNA,W,
1698,LEMNMIN,W,
1699,LEMNTRI,,
1700,LEONSAX,TD4,
1701,LEPIDEN,TD2,
1702,LEPIDIU,TD0,
1703,LEPIDOZ,M,
1704,LEPIFIL,M,
1705,LEPIPER,TD4,
1706,LEPIREP,M,
1707,LEPIVIR,TD2,
1708,LEPRALB,,
1709,LEPRARI,,
1710,LEPRCAC,,
1711,LEPRINC,TD4,
1712,LEPRMEB,X,
1713,LEPRNEG,,
1714,LEPROCA,,
1715,LEPROLO,,
1716,LEPRSUB,,
1717,LEPRVOU,M,
1718,LEPTALB,F,
1719,LEPTARR,W,
1720,LEPTBUN,TD4,
1721,LEPTHUM,M,
1722,LEPTLIC,TD0,
1723,LEPTOBR,W,
1724,LEPTOGI,TD4,
1725,LEPTPYI,X,
1726,LEPTPYR,W,
1727,LEPTRIP,W,
1728,LEPTSAT,TD0,
1729,LEPTSEP,TD2,
1730,LEPTSUB,,
1731,LEPTTEN,TD2,
1732,LESCURA,,
1733,LESKNER,X,
1734,LESKPOL,,
1735,LETHARI,F,
1736,LETHCOL,,
1737,LETHVUL,TD3,
1738,LEUCACA,M,
1739,LEUCANT,F,
1740,LEUCOLE,W,
1741,LEUCVUL,X,
1742,LEWICOL,TD1,
1743,LEWIPYG,,
1744,LEWIRED,TD0,
1745,LEYMCIN,TD4,
1746,LEYMINN,X,
1747,LEYMMOL,X,
1748,LEYMTRI,W,
1749,LEYMUS,X,
1750,LICHENC,,
1751,LICHENO,TD4,
1752,LICHINA,,
1753,LICHSTI,TD0,
1754,LIGUCAL,,
1755,LIGUCAN,M,
1756,LIGUSCO,W,
1757,LIGUSTI,M,
1758,LILAEA,W,
1759,LILAOCC,W,
1760,LILIACE,X,
1761,LILICOL,TD4,
1762,LILIPHI,TD3,
1763,LILIUM,TD4,
1764,LINAGEN,TD0,
1765,LINAPUN,TD0,
1766,LINAPUR,TD0,
1767,LINARIA,TD0,
1768,LINAVUL,TD1,
1769,LINNBOR,X,
1770,LINUBIE,TD1,
1771,LINULEW,TD1,
1772,LINUM,TD2,
1773,LINUPER,TD2,
1774,LIOCLAN,X,
1775,LITHGLA,TD1,
1776,LITHINC,TD0,
1777,LITHOPH,TD2,
1778,LITHOSP,TD0,
1779,LITHPAR,TD1,
1780,LITHRUD,TD1,
1781,LITHTHO,TD2,
1782,LLOYDIA,TD4,
1783,LLOYSER,,
1784,LOBALIN,,
1785,LOBAORE,M,
1786,LOBAPUL,X,
1787,LOBARET,TD2,
1788,LOBARIA,X,
1789,LOBASCR,TD0,
1790,LOBEKAL,,
1791,LOBELIA,F,
1792,LOESBAD,W,
1793,LOGFARV,TD1,
1794,LOISELE,F,
1795,LOLIPER,TD3,
1796,LOMAAMB,TD0,
1797,LOMABRA,TD3,
1798,LOMADIS,TD1,
1799,LOMAGEY,TD0,
1800,LOMAMAC,TD0,
1801,LOMAMAR,TD3,
1802,LOMANUD,TD1,
1803,LOMASAN,,
1804,LOMATIU,TD1,
1805,LOMATRI,TD2,
1806,LOMAUTR,TD2,
1807,LONICER,X,
1808,LONICIL,TD3,
1809,LONIDIO,X,
1810,LONIHIS,TD3,
1811,LONIINV,X,
1812,LONITAT,,
1813,LONIUTA,X,
1814,LOPHBID,W,
1815,LOPHHET,X,
1816,LOPHMIN,W,
1817,LOPHOBT,M,
1818,LOPHSUD,X,
1819,LOPHVEN,X,
1820,LOPOEXC,TD3,
1821,LOTUCOR,TD2,
1822,LOTUS,TD3,
1823,LUETPEC,,
1824,LUPIARB,TD4,
1825,LUPIARC,TD4,
1826,LUPIARG,X,
1827,LUPIARU,TD3,
1828,LUPIBIC,M,
1829,LUPIBUR,X,
1830,LUPIKUS,,
1831,LUPILEP,,
1832,LUPILEU,F,
1833,LUPILIT,TD4,
1834,LUPILYA,,
1835,LUPINOO,,
1836,LUPINUS,TD4,
1837,LUPIPOC,X,
1838,LUPIPOY,X,
1839,LUPISER,TD2,
1840,LUPISUL,TD0,
1841,LUZUARU,,
1842,LUZUCAM,,
1843,LUZUCOM,TD4,
1844,LUZUCON,,
1845,LUZUHIT,,
1846,LUZULA,,
1847,LUZUMUL,X,
1848,LUZUNIV,,
1849,LUZUPAR,,
1850,LUZUPIP,,
1851,LUZURUF,M,
1852,LUZUSPI,,
1853,LYCHNIS,TD3,
1854,LYCIUM,F,
1855,LYCOAME,W,
1856,LYCOANN,X,
1857,LYCOASP,W,
1858,LYCOCLA,X,
1859,LYCODEN,X,
1860,LYCOINU,W,
1861,LYCOPOA,X,
1862,LYCOPOE,X,
1863,LYCOPOI,X,
1864,LYCOPUS,X,
1865,LYCOUNI,W,
1866,LYSIAME,W,
1867,LYSICHI,,
1868,LYSIMAR,W,
1869,LYSITHY,W,
1870,LYTHRUM,W,
1871,MACHAER,F,
1872,MADIA,TD0,
1873,MADIEXI,TD0,
1874,MADIGRA,TD2,
1875,MADISAT,TD2,
1876,MAIACAN,X,
1877,MAIADIL,M,
1878,MAIANTH,X,
1879,MAIARAC,X,
1880,MAIASTE,X,
1881,MAIATRI,W,
1882,MALABRA,W,
1883,MALUFUS,X,
1884,MALUPUM,TD4,
1885,MALUS,X,
1886,MALVNEG,TD4,
1887,MANNGRA,,
1888,MARCPOL,W,
1889,MARSAQU,W,
1890,MARSSPA,F,
1891,MARSSPH,W,
1892,MARSUPE,,
1893,MASONHA,,
1894,MASORIC,,
1895,MASSCAR,X,
1896,MATRCHA,TD4,
1897,MATRDIS,TD3,
1898,MATTSTR,M,
1899,MEDICAG,X,
1900,MEDILUP,TD3,
1901,MEDISAT,TD2,
1902,MEESLON,W,
1903,MEESTRI,W,
1904,MEESULI,,
1905,MELAAGN,,
1906,MELAELE,TD1,
1907,MELAEXS,TD4,
1908,MELAHEP,X,
1909,MELAINF,TD0,
1910,MELALIN,TD3,
1911,MELAMPY,TD4,
1912,MELANEL,TD1,
1913,MELASUA,,
1914,MELASUE,TD2,
1915,MELIALB,TD2,
1916,MELIBUL,TD3,
1917,MELICA,X,
1918,MELIHAR,TD3,
1919,MELILOT,TD4,
1920,MELIOFF,X,
1921,MELISMI,M,
1922,MELISPE,,
1923,MELISUB,X,
1924,MENTALB,TD0,
1925,MENTARV,W,
1926,MENTDIS,TD0,
1927,MENTHA,X,
1928,MENTLAE,TD0,
1929,MENTSPI,W,
1930,MENYTRI,W,VW
1931,MENZFER,X,
1932,MERTENS,X,
1933,MERTLON,TD3,
1934,MERTPAN,X,
1935,MESOGIL,TD4,
1936,MESORUT,M,
1937,METZCON,F,
1938,METZTEM,M,
1939,MICRBOR,W,
1940,MICRFER,TD4,
1941,MICRGRA,TD1,
1942,MICRINT,TD3,
1943,MICRLYA,,
1944,MICRMIN,TD0,
1945,MICRNEL,,
1946,MICRNID,TD0,
1947,MICRNIV,,
1948,MICRNUT,TD1,
1949,MICROCC,,
1950,MICRODO,X,
1951,MICROSE,F,
1952,MICRREF,,
1953,MICRRUF,,
1954,MICRTOL,,
1955,MIMULUS,W,
1956,MIMUTIL,M,
1957,MINUART,,
1958,MINUNUT,TD3,
1959,MITECAU,M,
1960,MITELLA,,
1961,MITENUD,X,
1962,MNIACEA,,
1963,MNIUAMB,X,
1964,MNIUARI,X,
1965,MNIUBLY,M,
1966,MNIUM,M,
1967,MNIUMAR,X,
1968,MNIUSPN,X,
1969,MNIUTHO,F,
1970,MOEHLAT,X,
1971,MOEHMAC,TD3,
1972,MOEHRIN,X,
1973,MOENCHI,TD4,
1974,MOLLVER,M,
1975,MONAFIS,TD2,
1976,MONESES,X,
1977,MONEUNI,X,
1978,MONOLEP,F,
1979,MONOTRO,TD3,
1980,MONOUNI,X,
1981,MONTCHA,W,
1982,MONTDIF,TD0,
1983,MONTIA,X,
1984,MONTLIN,TD2,
1985,MONTPAR,X,
1986,MUHLAND,M,
1987,MUHLASP,X,
1988,MUHLENB,X,
1989,MUHLGLO,X,
1990,MUHLRIC,X,
1991,MULGPUL,,
1992,MYCEMUR,X,
1993,MYCOSAN,TD4,
1994,MYLIA,M,
1995,MYLIANO,W,
1996,MYLITAY,M,
1997,MYOSAPE,,
1998,MYOSARV,TD4,
1999,MYOSASI,,
2000,MYOSDIS,TD1,
2001,MYOSLAX,W,
2002,MYOSMIN,M,
2003,MYOSOTI,X,
2004,MYOSSCO,W,
2005,MYOSSTR,TD0,
2006,MYOSSYL,,
2007,MYOSVER,TD0,
2008,MYRIGAL,W,
2009,MYRIGRA,,
2010,MYRIOPH,W,VW
2011,MYRISPI,,
2012,MYRIVER,,
2013,MYURJUL,M,
2014,MYURTEN,TD0,
3421,NA,,
2015,NARCISS,TD4,
2016,NARDIA,W,
2017,NASSVIR,TD3,
2018,NASTMIC,M,
2019,NASTOFF,TD4,
2020,NAVASQU,TD3,
2021,NECKDOU,X,
2022,NECKERA,X,
2023,NECKMEN,X,
2024,NECKPEN,X,
2025,NEMOBRE,TD4,
2026,NEMOPAR,F,
2027,NEOOATT,TD4,
2028,NEOOFLO,X,
2029,NEOTBAN,M,
2030,NEOTBOR,X,
2031,NEOTCON,M,
2032,NEOTCOR,M,
2033,NEOTTIA,X,
2034,NEPECAT,TD3,
2035,NEPHARC,X,
2036,NEPHBEL,TD4,
3418,NEPHCRI1,W,
2037,NEPHEXP,,
2038,NEPHHEL,X,
2039,NEPHPAR,TD3,
2040,NEPHRES,TD3,
2041,NEPHROM,TD4,
2042,NEPHSIL,TD4,
2043,NODOBRY,M,
2044,NODOORE,,
2045,NOTHNEM,F,
2046,NOTHTRO,TD1,
2047,NUPHAR,W,VW
2048,NUPHPOL,,
2049,NUPHVAR,,
2050,OCHROLE,,
2051,OCHRUPS,TD1,
2052,ODONDEN,W,
2053,ODONFLU,W,
2054,OEMLCER,X,
2055,OENASAR,W,VW
2056,OENOPAL,TD0,
2057,OENOTHE,TD2,
2058,OLIGALI,M,
2059,OLIGHER,,
2060,OLIGOTR,X,
2061,OLIGPAR,,
2062,OLSYDOU,TD0,
2063,ONCOVIR,X,
2064,ONCOWAH,,
2065,ONOBVIC,TD3,
2066,OPHILAP,TD3,
2067,OPLOHOR,M,
2068,OPLOPAN,X,
2069,OPUNFRA,TD0,
2070,ORCHIDA,X,
2071,OROBANC,X,
2072,OROBFAS,TD0,
2073,OROBUNI,TD2,
2074,ORTHAFF,TD4,
2075,ORTHALP,TD0,
2076,ORTHANO,,
2077,ORTHBRA,,
2078,ORTHCHR,,
2079,ORTHILI,X,
2080,ORTHLAE,X,
2081,ORTHLUT,TD2,
2082,ORTHLYE,M,
2083,ORTHOBT,W,
2084,ORTHOCA,,
2085,ORTHOTH,X,
2086,ORTHOTI,M,
2087,ORTHOTR,TD0,
2088,ORTHPEU,X,
2089,ORTHRUP,TD4,
2090,ORTHSEC,X,
2091,ORTHSPE,X,
2092,ORTHTEN,TD3,
2093,ORYZASP,TD4,
2094,ORYZOPS,TD3,
2095,OSMOBER,X,
2096,OSMODEP,X,
2097,OSMOOCC,X,
2098,OSMOPUR,M,
2099,OSMORHI,X,
2100,OXALORE,M,
2101,OXYCOCC,W,
2102,OXYRDIG,,
2103,OXYRIA,TD3,
2104,OXYTBOR,,
2105,OXYTCAM,TD3,
2106,OXYTDEF,TD4,
2107,OXYTHUD,,
2108,OXYTMAY,,
2109,OXYTNIG,,
2110,OXYTPOD,,
2111,OXYTROP,TD3,
2112,OXYTSCA,,
2113,OXYTSER,TD3,
2114,OXYTSPL,TD4,
2115,OZOMTRI,X,
2116,PACKCAN,TD1,
2117,PACKCYM,TD2,
2118,PACKIND,X,
2119,PACKMAC,,
2120,PACKOGO,,
