,Species,SMR_Ind,Exceptions
963,CRYPTOR,TD2,
964,CUPRESS,,
965,CYNOBOR,TD4,
966,CYNODOT,,
967,CYNOECH,TD2,
968,CYNOGLA,TD2,
969,CYNOGLO,TD2,
970,CYNOGRA,TD4,
971,CYNOJEN,X,
972,CYNOOFF,TD3,
973,CYNOSTR,F,
974,CYPERAC,M,
975,CYPERUS,X,
976,CYPESQU,,
977,CYPHINQ,F,
978,CYPRIPE,X,
979,CYPRMON,X,
980,CYPRPAR,W,
981,CYPRPAS,X,
982,CYRTHYM,F,
983,CYSTFRA,X,
984,CYSTMON,X,
985,CYSTOCO,TD2,
986,CYSTOPT,X,
987,CYTISCO,TD2,
988,DACTARC,,
989,DACTGLO,TD3,
990,DACTMAD,,
991,DACTRAM,,
992,DACTYLI,,
993,DACTYLN,,
994,DANTCAL,TD3,
995,DANTHON,X,
3414,DANTINT1,X,
996,DANTSPI,TD2,
997,DANTUNI,TD2,
998,DAPHLAU,TD2,
999,DAPHNE,TD4,
1000,DASIFRU,X,
1001,DAUCCAR,X,
1002,DELPBIC,TD1,
1003,DELPGLA,X,
1004,DELPHIN,X,
1005,DELPMEN,TD0,
1006,DELPNUT,TD1,
1007,DELPSUT,,
1008,DENDABI,TD2,
1009,DENDROA,M,
1010,DERMATO,TD2,
1011,DERMMIN,TD0,
1012,DERMRIV,,
1013,DESCCES,W,X
1014,DESCDAN,X,
1015,DESCELO,M,
1016,DESCHAM,X,
1017,DESCINC,TD0,
1018,DESCLON,,
1019,DESCPIN,TD0,
1020,DESCSOH,TD0,
1021,DESCSOP,TD0,
1022,DESCURA,TD0,
1023,DIANARM,TD0,
3415,DICEFOR1,M,
1024,DICENTR,,
1025,DICHACU,X,
1026,DICHOLI,TD0,
1027,DICHOLY,,
1028,DICHPEL,X,
1029,DICRACU,X,
1030,DICRANA,X,
1031,DICRANE,TD4,
1032,DICRANO,,
1033,DICRANU,X,
1034,DICRANW,TD3,
1035,DICRASP,X,
1036,DICRBON,F,
1037,DICRBRE,X,
1038,DICRCER,TD4,
1039,DICRCIR,X,
1040,DICRCRI,TD4,
1041,DICRCRS,TD3,
1042,DICRELO,,
1043,DICRFLA,,
1044,DICRFRA,X,
1045,DICRFUS,X,
1046,DICRGRO,TD2,
1047,DICRHET,M,
1048,DICRMAJ,M,
1049,DICRMON,,
1050,DICRMUE,X,
1051,DICRPAI,X,
1052,DICRPAL,X,
1053,DICRPOL,TD4,
1054,DICRRUF,,
1055,DICRSCH,TD3,
1056,DICRSCO,X,
1057,DICRSPA,,
1058,DICRSUB,X,
1059,DICRTAU,TD3,
1060,DICRUNC,X,
1061,DICRUND,X,
1062,DICRVAR,TD4,
1063,DICTYON,,
1064,DIDYFAL,M,
1065,DIDYMOD,TD0,
