"144","ANTIOCC",NA,NA,NA,0.5,1.8,11.4,31.01,9.71,38.72,9.952,13.841,18.602,4.535,13.51,1.41,4.503
"145","ANTITRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.05,NA,NA,NA
"146","AONGLON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"147","APERINT",NA,NA,NA,NA,0.01,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","APIACEA",0.1,NA,NA,0.1,NA,NA,NA,0.1,0.1,NA,NA,0.1,NA,NA,NA,0.7
"149","APOCAND",44.1,34.8,131.41,256.204,274.913,289.091,73.001,54.11,190.39,47.61,2,0.2,4,NA,NA,NA
"150","APOCCAN",NA,NA,7,2.2,13.5,1.3,22.7,0.5,NA,NA,25.5,NA,NA,NA,2,NA
"151","APOCYNU",NA,NA,3.5,2.1,15.2,0.5,1.2,3,NA,0.1,NA,NA,NA,NA,NA,NA
"152","APOMPUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA
"153","AQUIBRE",NA,NA,NA,NA,NA,NA,3.4,1.81,0.5,NA,0.5,2.2,1.001,NA,NA,NA
"154","AQUIFLA",NA,NA,NA,0.5,0.11,1.1,11.4,4.32,8.78,4.32,1.35,1.03,1,2.01,NA,NA
"155","AQUIFOR",NA,NA,NA,0.5,3.04,5.6,44.841,71.86,53.04,31.926,42.69,27.312,40.625,8.32,7,8.1
"156","AQUILEG",NA,NA,NA,NA,0.2,1.5,2.72,0.91,4.401,0.01,3.67,1.4,NA,0.7,NA,NA
"157","ARABHOL",57.706,17.326,42.334,56.59,26.245,28.041,10.072,4.7,1,4.1,NA,0.1,1.5,NA,NA,NA
"158","ARABIDO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"159","ARABIS",2.9,0.7,2.471,5.8,3.311,3.102,2.8,17.7,1.4,0.7,1,NA,NA,NA,NA,1
"160","ARABLYT",NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA
"161","ARABNUT",NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.3,NA,1,0.1,NA,NA,NA
"162","ARABTHA",NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","ARALIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"164","ARALNUD",0.5,10,34.6,11.67,190.331,581.77,1729.621,3399.401,2287.985,2135.76,1563.06,1911.071,566.18,164.7,123.5,185.34
"165","ARBUMEN",NA,NA,122.1,609,574.11,158.6,491.2,51,NA,7,0.5,NA,0.1,NA,NA,NA
"166","ARCTALI",NA,NA,NA,NA,30,33,NA,1,51,NA,NA,44.5,NA,NA,NA,34
"167","ARCTARC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"168","ARCTCEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA
"169","ARCTCOL",NA,NA,12.01,4,6.6,NA,5.2,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"170","ARCTCOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,2.1,1,NA,NA,NA
"171","ARCTEMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"172","ARCTIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"173","ARCTLAP",NA,NA,NA,1,NA,NA,3.1,0.01,NA,3.5,0.6,0.1,2,1.5,0.5,NA
"174","ARCTLAT",NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,1.1,1,2.7,0.1,6.6
"175","ARCTMIN",NA,NA,NA,NA,NA,NA,35.3,NA,NA,3,29.7,NA,NA,NA,NA,NA
"176","ARCTOST",NA,NA,3,NA,NA,0.1,0.21,NA,NA,NA,NA,NA,NA,15,NA,NA
"177","ARCTRBR",NA,NA,NA,NA,11.5,1,7.1,53.521,55.01,20.6,1.9,42.3,10.5,30.5,15.3,74
"178","ARCTUVA",339.5,255.03,1337.07,3087.51,5573.341,6844.792,4195.44,2137.251,847.726,338.95,68.5,160.411,61.81,6.6,NA,69.4
"179","ARENARI",2.1,NA,NA,0.31,0.7,1,3.101,42.1,0.5,0.35,1,1.5,1,NA,1,8.6
"180","ARENSER",2.4,2,3.9,4.1,13.81,NA,1.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"181","ARISPUR",137.42,0.2,28,1,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","ARISTID",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","ARMEMAR",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","ARMORUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA
"185","ARNIANG",NA,NA,NA,NA,NA,3,NA,15,8.301,9.2,0.11,0.1,0.11,NA,0.5,14
"186","ARNICA",NA,NA,NA,28.83,7.98,3.2,28.411,80.71,126.6,142.41,148.8,151.4,73.801,7.7,10.1,5.121
"187","ARNICHA",NA,NA,NA,NA,NA,1.5,2.2,1.3,NA,12.3,16.5,0.2,20.6,NA,1.2,15.1
"188","ARNICOR",2.1,5.1,51,303.602,582.522,1090.294,1979.77,2222.045,2672.625,1972.246,1130.396,963.212,600.663,148.721,44,102.51
"189","ARNIFUL",13.3,17.301,13.4,22.11,10.81,9.9,9,1.3,NA,NA,NA,NA,0.5,NA,NA,NA
"190","ARNIGRA",NA,NA,NA,NA,NA,0.1,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"191","ARNILAN",NA,NA,NA,NA,2,NA,0.6,NA,1.3,NA,1,10.05,1,2,0.5,1.2
"192","ARNILAT",NA,NA,0.03,4.7,44.41,56.811,190.601,517.414,1235.173,1221.283,1623.723,713.752,1168.861,92.7,331,123.91
"193","ARNILON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"194","ARNIMOL",NA,NA,NA,NA,0.1,1,7.201,0.012,10.5,13.25,17.6,16.6,11.5,21.5,NA,7.1
"195","ARNIOVA",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,0.5,20.1,NA,NA,NA
"196","ARNIPAR",0.5,NA,NA,4.1,NA,NA,25.1,8.2,1,3,NA,NA,0.3,NA,NA,NA
"197","ARNIRYD",NA,NA,0.5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","ARNISOR",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","ARTEBOR",NA,NA,NA,NA,10.5,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"200","ARTECAM",46.03,3.2,68.4,94,25.9,30.4,5.4,NA,NA,NA,0.5,NA,NA,0.1,NA,0.5
"201","ARTEDRA",15.63,6.1,8.31,25.3,4,2.8,16.5,NA,32,NA,10,NA,NA,NA,NA,NA
"202","ARTEFRI",505,110.8,263.17,739.09,142.91,154.711,73.29,4.5,7.7,NA,5.5,NA,NA,NA,4.8,NA
