"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"136","418979",0,0.5,0,0,0,0.5,22.5,18.5,0,0,203,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"3MD","SBS dk   /04"
"137","428879",0,0,11.5,0,0,0,4,4,0,0,283.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"6M","SBS dk   /06"
"138","428979",0,0,74.6,0,0,0,0.2,34.7,0,0,250.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"6M","SBS dk   /01-06 $5B At - Cowparsnip"
"139","429279",0,0,8.5,0,0,0,19,48.5,0,0,274,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS dk   /01"
"140","438979",0,0.5,0,0,0,0.5,1,3.5,0,0,182,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"5F","SBS dk   /05"
"141","439079",0,0,10.5,0,0,0.5,7.5,8,0,0,203,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS dk   /01"
"142","439179",0,0,2,0,0,0,5,55,0,0,165.5,1.5,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS dk   /01-06 $5B At - Peavine"
"143","439379",0,0,0.5,0,0,4,11,12,0,0,67,0.5,"CMAun","CMA un","CMA ","1",NA,NA,"3MD","SBS dk   /02"
"144","6CS108",0,0,28,0,0,0,8.5,4,0,0,123,0,"SBSdk","SBS dk","SBS ","5",5,5,"6M","SBS dk   /Fm02b"
"145","6CS123",0,0,3,0,0,0,5.2,0.7,0,0,102.4,0,"SBSdk","SBS dk","SBS ","6",6.5,6.5,"5F","SBS dk   /$Fm02"
"146","6CS124",0,0,2,0,0,0,5,2,0,0,181.2,0,"SBSdk","SBS dk","SBS ","6",6.5,6.5,"5F","SBS dk   /Fm02a"
"147","8400004",0,0,23.1,0,0,0,20,11.5,0,0.5,100.7,0,"SBSdk","SBS dk","SBS ","6",6.5,6.5,"6M","SBS dk   /Fm02b"
"148","8400011",0,0,1.1,0,0,0,0,1,0,0,115.7,0,"SBSdk","SBS dk","SBS ","6",6.5,6.5,"5F","SBS dk   /06 $5M ActSx - Highbush cranberry - Thimbleberry"
"149","8400013",0,0,0.1,0,0,0,0.5,4.6,0,0,113.7,0,NA,NA,NA,NA,NA,NA,"5F","SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)"
"150","8400015",0,0,0,0,0,0,2.1,10.6,0,0,115.4,0,NA,NA,NA,NA,NA,NA,"5F","SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)"
"151","8400017",0,0,0,0,0,21,2.9,46.7,0,0,93,0,"SBSdk","SBS dk","SBS ","2",2.5,3,"3MD","SBS dk   /03"
"152","8400027",0,0,0,0,0,0.1,2.2,3.6,0,0,129.7,0,"SBSdk","SBS dk","SBS ","2",2.5,3,"5F","SBS dk   /03"
"153","8400028",0,0,0,0,0,10,1.8,9.1,0,0,128.9,0,"SBSdk","SBS dk","SBS ","4",4,4,"3MD","SBS dk   /03"
"154","8400033",0,0,0,0,0,0,1.1,12.6,0,0,104.4,0,NA,NA,NA,NA,NA,NA,"5F","SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)"
"155","8400034",0,0,0,0,0,10,1.8,31.3,0,0,66.1,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"4SD","SBS dk   /03"
"156","8400035",0,0,0,0,0,0.5,1.8,22.7,0,0,101.2,0,NA,NA,NA,NA,NA,NA,"4SD","SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)"
"157","8400036",0,0,0,0,0,2,1.6,27,0,0,114.2,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"4SD","SBS dk   /03"
"158","8400040",0,0,0,0,0,0.5,1.3,8.7,0,0,74.4,0,NA,NA,NA,NA,NA,NA,"5F","SBS dk   /01"
"159","8400060",0,0,15.5,0,0,0,0,0,0,4.1,114.8,0.5,"SBSdk","SBS dk","SBS ","7",8,8,"6M","SBS dk   /Ws07"
"160","8400061",0,0,1,0,0,0,0,0,0,55,27.5,0,"SBSdk","SBS dk","SBS ","7",8,8,"8W","SBS dk   /Ws04"
"161","8529247",0.1,0.2,20.3,0,0,0,9.2,6.6,0,0,142,0.1,"SBSwk3a","SBS wk 3a","SBS ","4",NA,NA,"6M","SBS dk   /01"
"162","8529248",0,0.1,0,0,0,0,7,30.4,0,0,156.2,0.2,"SBSdw3","SBS dw 3","SBS ","5",5.5,5,"4SD","SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)"
"163","8529249",0,0,0,0,0,0,12.2,11,0,0,131.1,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"3MD","SBS dk   /04"
"164","961102",0,0,0,0,0,0,0,0,0,39.1,40.3,0,"SBSdk","SBS dk","SBS ","7",8,8,"8W","SBS dk   /Ws03"
"165","961103",0,0,0,0,0,0,0,0,40,10,0,0,"SBSdk","SBS dk","SBS ","8",NA,NA,"9VW","SBS dk   /Wm02"
"166","961105",0,0,28,0,0,0,0,0,0,59.6,12,0,NA,NA,NA,NA,NA,NA,"8W","SBS dk   /Wf02"
"167","961107",0,0,0,0,0,0,0,0,43.6,112.5,0,0,"SBSmc2","SBS mc 2","SBS ","7",8,8,"9VW","SBS dk   /Wf08"
"168","961108",0,0,0,0,0,0,0.1,0,1,106.1,11,0,"SBSmc2","SBS mc 2","SBS ","7",8,8,"8W","SBS dk   /Wm01"
"169","961109",0,0,0,0,0,0,0,0,52,101.1,1.2,1,"ESSFmc","ESSFmc","ESSF","7",8,8,"9VW","SBS dk   /Wf19"
"170","961119",0,0,60,0,0,0,0,0,2,1,5.5,0,"SBSdk","SBS dk","SBS ","7",8,8,"6M","SBS dk   /Fl05"
"171","961120",0,0,0,0,0,0,0,0,90,0,0.1,0,NA,NA,NA,NA,NA,NA,"9VW","SBS dk   /Wm02"
"172","961121",0,0,77.2,0,0,0,0,1,0,2.1,41.7,0,"SBSdk","SBS dk","SBS ","6",6.5,6.5,"6M","SBS dk   /Fl05"
"173","961122",0,0,9.6,0,0,0,0,0,14,15.6,85.1,0.1,"SBSdk","SBS dk","SBS ","7",8,8,"8W","SBS dk   /Ws03"
"174","961123",0,0,0,0,0,0,0,0,52,5,0,0,NA,NA,NA,NA,NA,NA,"9VW","SBS dk   /Wm02"
"175","961124",0,0,0,0,0,0,0,0,64,90,0,1.5,"SBSdk","SBS dk","SBS ","8",NA,NA,"9VW","SBS dk   /Wm02"
"176","961125",0,0,25.5,0,0,0,0,0,0,69.6,69.1,0,"SBSdk","SBS dk","SBS ","7",8,8,"8W","SBS dk   /Ws05"
"177","961126",0,0,0,0,0,0,0,0,0,126,39,0,"SBSmc2","SBS mc 2","SBS ","7",8,8,"8W","SBS dk   /Wb07"
"178","961127",0,0,17,0,0,0,0,0,0,69,0.5,0,"SBSmc2","SBS mc 2","SBS ","7",8,8,"8W","SBS dk   /Wf14"
"179","961128",0,0,32,0,0,0,0,0,45,21,0,0,NA,NA,NA,NA,NA,NA,"9VW","SBS dk   /Wm01"
"180","961162",0,0,7.5,0,0,0,0.5,0,2,11,65.7,0,"SBSdk","SBS dk","SBS ","7",8,8,"6M","SBS dk /Ws[L.c]"
"181","961163",0,0,12.6,0,0,0,0,0,3,23.1,61.8,0,NA,NA,NA,NA,NA,NA,"8W","SBS dk   /Ws03"
"182","961164",0,0,0,0,0,0,0,0,60,27,0,0,"SBSdk","SBS dk","SBS ","8",NA,NA,"9VW","SBS dk   /Wm02"
"183","961165",0,0,20,0,0,0,0,0,0,9,22,0,"SBSdk","SBS dk","SBS ","7",8,8,"6M","SBS dk   /Fl05"
"184","961166",0,0,51.5,0,0,0,0,0,0,0,69.5,0,"SBSdk","SBS dk","SBS ","6",6.5,6.5,"6M","SBS dk   /07 $5B At - Black twinberry - Horsetail"
"185","961167",0,0,21.6,0,0,0,0,0,0,0,62.1,0.1,"SBSwk3a","SBS wk 3a","SBS ","6",NA,NA,"6M","SBS dk   /07"
"186","961168",0,0,0,0,0,0,0,0,54,26.6,2.1,0,"SBSwk3a","SBS wk 3a","SBS ","7",NA,NA,"9VW","SBS dk   /Wf07"
"187","9611753",0,0,12,0,0,0,2,2,0,0,190.4,0,NA,NA,NA,NA,NA,NA,"6M","SBS dk   /06 $5B EpAt - Dogwood - Peavine"
"188","9611760",0,0,0,0.2,4,19.1,41,0,0,0,18.4,0.1,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb53"
"189","9611761",0,0,11,0,0,0,3,3,0,0,103.8,0,NA,NA,NA,NA,NA,NA,"6M","SBS dk   /$2 Dandelion - Bluegrass"
"190","9611767",0,0,12,0,0,0,3.2,20.2,0,1.1,114.8,0,NA,NA,NA,NA,NA,NA,"6M","SBS dk   /Fm02b"
"191","9611768",0,0,0,0,1.2,16.6,20.9,1.1,0,0,44.4,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /03 $5B At - Saskatoon - Kinnikinnick"
"192","9611916",0.1,0,0,0,0.4,9.2,57.1,5.1,0.1,0,9.4,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb53"
"193","9611923",0,0,21,0,0,0,0,20,0,3,206,0,NA,NA,NA,NA,NA,NA,"6M","SBS dk   /Fm02b"
"194","9611926",0,0,0,0,21,33.2,45.6,6.1,0,0.1,30.7,12.2,NA,NA,NA,NA,NA,NA,"2VD","SBS dk   /Gb53"
"195","9611953",0,0,19.1,0,0,0,0.1,20.2,0,0,104.7,0,NA,NA,NA,NA,NA,NA,"6M","SBS dk   /01-06 $5B At - Peavine"
"196","9611965",0,0,26.1,0,0,0,0,0,0,3.2,158.4,0,NA,NA,NA,NA,NA,NA,"6M","SBS dk   /07"
"197","9611967",0,0,34.5,0,0,0,0.1,0,0,15.2,138.7,0,NA,NA,NA,NA,NA,NA,"7VM","SBS dk   /Ws07"
"198","9611970",0,0,0.1,0,8,17.2,47.1,8.1,0,0,50.6,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb53"
"199","9611974",0,0,0,0,0.1,11.1,50.1,3,0,0,27.2,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb1"
"200","9611980",0,0,8.2,0,0,2,1,1,0,0,138.4,0,NA,NA,NA,NA,NA,NA,"5F","SBS dk   /Fm02a"
"201","9611993",0,0,0,0,0,0,1.2,11,0,0,49.1,0,NA,NA,NA,NA,NA,NA,"5F","SBS dk   /Fm02a"
"202","961236",0,0,0,0,21.2,10.2,15.4,10,0,0,29.2,0,NA,NA,NA,NA,NA,NA,"2VD","SBS dk   /xGb53"
"203","961259",0.1,0.1,0,0,0,3.2,11.4,12.1,0,0,62.4,0.2,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /$2 Dandelion - Bluegrass"
"204","9613290",0,0,58,0,0,0,0,0,0,0,70.5,0,"SBSdk","SBS dk","SBS ","6",6.5,6.5,"6M","SBS dk   /07-10 $3bB Alder - Devilsclub - Ladyfern"
"205","9613291",0,0,6.1,0,0,0,2,2.5,0,0,134.672,0,"SBSdk","SBS dk","SBS ","5",5,5,"5F","SBS dk   /06 $5M ActSx - Highbush cranberry - Thimbleberry"
"206","9613294",0,0,1,0,0,0,5,20,0,0,127.9,0,"SBSdk","SBS dk","SBS ","4",4,4,"4SD","SBS dk   /01-06 $5B At - Peavine"
"207","9613295",0,0,0.001,0,0,0,2,16.01,0,0,119.502,0,"SBSdk","SBS dk","SBS ","5",5,5,"5F","SBS dk   /Fm02a"
"208","9613312",0,0,0,0,5,0,11,8,0,0,147,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"3MD","SBS dk   /03 $5B At - Douglas Maple Colluvial (5)"
"209","9613317",0,0,61,0,0,0,0,0,0,0,125,0,"SBSdk","SBS dk","SBS ","6",6.5,6.5,"6M","SBS dk   /07-10 $3bB Alder - Devilsclub - Ladyfern"
"210","9613863",0,0,21,0,0,1,23.5,20,0,0,81.5,0,NA,NA,NA,NA,NA,NA,"6M","SBS dk   /01-06 $5B At - Cowparsnip"
"211","9613868",0,0,0.5,0,0,0,3,12,0,0,166,0,NA,NA,NA,NA,NA,NA,"5F","SBS dk   /06 $5B EpAt - Dogwood - Peavine"
"212","9614743",0,0,0,0,0,12.101,69.1,8.5,0,0,57.11,0.5,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb1"
"213","9617127",0,0,0.01,0,0,1,3,15,0,0,126.555,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"5F","SBS dk   /01-06 $5M AtSx - Soopolallie (mature)"
"214","9617268",0,0,0,0,5,39.3,28.8,3,0,0,35.8,0,NA,NA,NA,NA,NA,NA,"2VD","SBS dk   /$2 Dandelion - Bluegrass"
"215","9622550",0,0,0.01,0,0,0,5,3.82,0,30,128.031,0,"SBSdk","SBS dk","SBS ","7",8,8,"8W","SBS dk   /Wb01"
"216","9622643",0,0,0,0,0,4,6.07,21.021,0,0,126.51,0,"SBSdk","SBS dk","SBS ","2",2.5,3,"4SD","SBS dk   /03"
"217","9622648",0,0,29,0,0,0,0,10.1,0.5,0.51,176.52,0,"SBSdk","SBS dk","SBS ","5",5,5,"6M","SBS dk   /07"
"218","9622650",0,0,0,0,0,0,1,30,0,0,185.53,0,"SBSdk","SBS dk","SBS ","4",4,4,"4SD","SBS dk   /01-06 $5M AtSx - Soopolallie (mature)"
"219","9622657",0,0,0,0,0,7,6.501,4.5,0,0,138.601,0,"SBSdk","SBS dk","SBS ","2",2.5,3,"3MD","SBS dk   /03"
"220","9622658",1,0,0,0,0,3,13.01,5,0,0,103.605,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"3MD","SBS dk   /01-06 $5M AtSx - Soopolallie (mature)"
"221","9622659",0,0,0,0,0,1,2,39.6,0,0,167.1,0,"SBSdk","SBS dk","SBS ","2",2.5,3,"4SD","SBS dk   /03"
