PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit
02-1391,,,,,,,,,,,BWBSwk 3 /101
02-1395,,,,,,,,,,,BWBSwk 3 /101
02-1396,,,,,,,,,,,BWBSwk 3 /101
021480,,,,,,,,,,,CWH ws 2 /01
021780,,,,,,,,,,,CWH ws 2 /01
021980,,,,,,,,,,,CWH ws 2 /01
022080,,,,,,,,,,,CWH ws 2 /01
022180,,,,,,,,,,,CWH ws 2 /01
022480,,,,,,,,,,,CWH wh 1 /101
02-2554,,,,,,,,,,,CWH vh 2 /01
022580,,,,,,,,,,,CWH wh 1 /101
022780,,,,,,,,,,,CWH ws 1 /01
022880,,,,,,,,,,,CWH vh 3 /101
023080,,,,,,,,,,,CWH vh 2 /01
023180,,,,,,,,,,,CWH wh 1 /101
023380,,,,,,,,,,,CWH wh 1 /101
023480,,,,,,,,,,,CWH wh 1 /101
023880,,,,,,,,,,,CWH wh 2 /101
023980,,,,,,,,,,,CWH wh 1 /101
024080,,,,,,,,,,,CWH wh 2 /101
024580,,,,,,,,,,,CWH vh 2 /01
024780,,,,,,,,,,,CWH vm 1 /01
026080,,,,,,,,,,,SBS wk 1 /01
026580,,,,,,,,,,,ICH wk 3 /01
026980,,,,,,,,,,,ICH wk 3 /01
027180,,,,,,,,,,,ICH wk 3 /01
028080,,,,,,,,,,,ICH wk 3 /01
028280,,,,,,,,,,,ICH wk 3 /01
028580,,,,,,,,,,,ICH wk 3 /01
028980,,,,,,,,,,,ICH wk 3 /01
029080,,,,,,,,,,,ICH wk 3 /01
02OK002,,,,,,,,,,,IDF mw 1 /101
02OK011,,,,,,,,,,,ICH mk 1 /01
02OK021,,,,,,,,,,,ESSFdc 1 /101
02OK024,,,,,,,,,,,ESSFwc 4 /101
02OK039,,,,,,,,,,,ESSFdc 1 /101
02OK045,,,,,,,,,,,ESSFdc 1 /101
02OK048,,,,,,,,,,,ESSFdc 1 /101
02OK064,,,,,,,,,,,ESSFdc 1 /101
02OK066,,,,,,,,,,,ESSFdc 1 /101
02OK072,,,,,,,,,,,ESSFdc 1 /101
02OK073,,,,,,,,,,,ESSFdw   /101
02OK074,,,,,,,,,,,ESSFwc 4 /101
02OK086,,,,,,,,,,,ICH wk 1 /101
02OK094,,,,,,,,,,,ESSFdw   /101
02OK098,,,,,,,,,,,ICH mk 1 /01
02OK099,,,,,,,,,,,IDF mw 1 /101$6C.1
02OK100,,,,,,,,,,,ICH mk 1 /01
02OK104,,,,,,,,,,,ESSFdc 1 /101
02OK107,,,,,,,,,,,ESSFdc 1 /101
02OK111,,,,,,,,,,,ESSFdc 1 /101
02OK117,,,,,,,,,,,ICH mk 1 /01
02OK119,,,,,,,,,,,ICH mk 1 /01
02OK122,,,,,,,,,,,ESSFdw   /101
02OK124,,,,,,,,,,,ICH mk 1 /01
02OK125,,,,,,,,,,,ESSFdw   /101
02OK126,,,,,,,,,,,ESSFdc 1 /101
02OK133,,,,,,,,,,,IDF mw 1 /101
02OK150,,,,,,,,,,,IDF mw 1 /101$6C.1
02OK152,,,,,,,,,,,ICH mk 1 /01
02OK154,,,,,,,,,,,ICH mk 1 /01
02OK155,,,,,,,,,,,ICH mk 1 /01
02OK164,,,,,,,,,,,IDF mw 1 /101$6C.1
02OK166,,,,,,,,,,,IDF mw 1 /101
02OK171,,,,,,,,,,,IDF mw 1 /101
02OK172,,,,,,,,,,,ICH mk 1 /01
02OK194,,,,,,,,,,,IDF mw 1 /101$6C.1
02OK195,,,,,,,,,,,ICH mk 1 /01
02OK198,,,,,,,,,,,IDF mw 1 /101
02OK212,,,,,,,,,,,ICH mk 1 /01
02OK222,,,,,,,,,,,IDF mw 1 /101
02OK225,,,,,,,,,,,ICH mk 1 /01
02OK227,,,,,,,,,,,ESSFdw   /101
02OK228,,,,,,,,,,,ESSFdw   /101
02OK229,,,,,,,,,,,ESSFdw   /101
02OK230,,,,,,,,,,,ICH mk 1 /01
02OK252,,,,,,,,,,,IDF mw 1 /101$6C.1
02OK255,,,,,,,,,,,IDF mw 1 /101
02OK256,,,,,,,,,,,IDF mw 1 /101
02OK265,,,,,,,,,,,IDF mw 1 /101$6C.1
02OKW14,,,,,,,,,,,ICH mk 1 /01
02OKW21,,,,,,,,,,,ESSFwc 4 /101
02OKW24,,,,,,,,,,,ESSFdc 1 /101
02OKW31,,,,,,,,,,,ICH mk 1 /01
02OKW36,,,,,,,,,,,IDF mw 1 /101
02OKW40,,,,,,,,,,,IDF mw 1 /101
02OKW46,,,,,,,,,,,IDF mw 1 /101
02OKW47,,,,,,,,,,,IDF mw 1 /101$6C.1
02OKW48,,,,,,,,,,,IDF mw 1 /101
02OKW57,,,,,,,,,,,ESSFdw   /101
02OKW59,,,,,,,,,,,ESSFdw   /101
031280,,,,,,,,,,,ICH wk 3 /01
031380,,,,,,,,,,,SBS vk   /01
033380,,,,,,,,,,,SBS dh 1 /01
034380,,,,,,,,,,,ICH wk 3 /01
034680,,,,,,,,,,,SBS dh 1 /01
0347981,,,,,,,,,,,ESSFwk 2 /01
035380,,,,,,,,,,,SBS dh 1 /01
035480,,,,,,,,,,,SBS dh 1 /01
035580,,,,,,,,,,,SBS dh 1 /01
035680,,,,,,,,,,,SBS dh 1 /01
035779,,,,,,,,,,,CWH ms 1 /01
037680,,,,,,,,,,,ICH mm   /01
038080,,,,,,,,,,,SBS dh 1 /01
038180,,,,,,,,,,,ICH mm   /01
038280,,,,,,,,,,,SBS dh 1 /01
038680,,,,,,,,,,,SBS dh 1 /01
03IR140,,,,,,,,,,,BWBSdk   /101
03IR145,,,,,,,,,,,BWBSdk   /101
03KTG30,,,,,,,,,,,SWB mk 1 /01
03-T12,,,,,,,,,,,ICH xw   /101
046180,,,,,,,,,,,ICH mm   /01
04IW019,,,,,,,,,,,BWBSdk   /101
04IW046,,,,,,,,,,,BWBSdk   /101
04IW052,,,,,,,,,,,BWBSdk   /101
050178,,,,,,,,,,,CWH wh 1 /101
050278,,,,,,,,,,,CWH wh 1 /101
050378,,,,,,,,,,,CWH wh 2 /101
050578,,,,,,,,,,,CWH wh 1 /101
050678,,,,,,,,,,,CWH wh 1 /101
050878,,,,,,,,,,,CWH wh 1 /101
051378,,,,,,,,,,,CWH wh 2 /101
052078,,,,,,,,,,,CWH wh 1 /101
052578,,,,,,,,,,,CWH wh 1 /101
07DM113,,,,,,,,,,,ESSFwc 6 /101
08-0972,,,,,,,,,,,CWH xs   /01
08-0974,,,,,,,,,,,CDF mm   /01
08-1044,,,,,,,,,,,MH  mm 1 /01
08-1047,,,,,,,,,,,CDF mm   /01
08-1048,,,,,,,,,,,CDF mm   /01
08-1056,,,,,,,,,,,CWH dm   /01
08-1057,,,,,,,,,,,CWH dm   /01
08-1060,,,,,,,,,,,CWH xs   /01
08-1063,,,,,,,,,,,CWH xs   /01
08-1066,,,,,,,,,,,CWH xs   /01
08-1067,,,,,,,,,,,CWH xs   /01
08-1089,,,,,,,,,,,CDF mm   /01
08-1306,,,,,,,,,,,ICH xw   /101
08-1315,,,,,,,,,,,ICH dm   /101
08-1319,,,,,,,,,,,ESSFwm 2 /101
08-1326,,,,,,,,,,,ICH wk 1 /101
08-1328,,,,,,,,,,,ICH mw 2 /101
08-1330,,,,,,,,,,,ESSFwm 1 /101
08-1333,,,,,,,,,,,ESSFwm 2 /101
08-1338,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-1341,,,,,,,,,,,ESSFwm 2 /101
08-1346,,,,,,,,,,,ESSFwm 1 /101
08-1347,,,,,,,,,,,ESSFwm 1 /101
08-1349,,,,,,,,,,,ESSFwm 1 /101
08-1350,,,,,,,,,,,ICH mk 4 /101
08-1351,,,,,,,,,,,ICH mk 4 /101
08-1357,,,,,,,,,,,ESSFwc 5 /101
08-1363,,,,,,,,,,,ESSFwc 6 /101
08-1365,,,,,,,,,,,ESSFwm 2 /101
08-1371,,,,,,,,,,,ESSFwm 4 /101
08-1373,,,,,,,,,,,ICH mw 2 /101
08-1375,,,,,,,,,,,ICH dm   /101
08-1378,,,,,,,,,,,ESSFwm 2 /101
08-1380,,,,,,,,,,,ESSFwm 2 /101
08-1382,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-1385,,,,,,,,,,,ESSFwm 2 /101
08-1386,,,,,,,,,,,ESSFwm 2 /101
08-1391,,,,,,,,,,,ESSFwm 2 /101
08-1393,,,,,,,,,,,ESSFwm 2 /101
08-1396,,,,,,,,,,,ESSFwm 4 /101
08-1399,,,,,,,,,,,ESSFwm 2 /101
08-1411,,,,,,,,,,,ICH xw   /101
08-1474,,,,,,,,,,,ESSFwc 4 /101
08-1477,,,,,,,,,,,ESSFwc 1 /101
08-1492,,,,,,,,,,,ESSFwm 2 /101
08-1493,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-1494,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08156,,,,,,,,,,,ESSFwc 4 /101
08211,,,,,,,,,,,ESSFwm 4 /101
08-2306,,,,,,,,,,,ICH dm   /101
08231,,,,,,,,,,,ICH dm   /101
08-2310,,,,,,,,,,,ICH mk 4 /101
08-2311,,,,,,,,,,,ICH mk 4 /101
08-2316,,,,,,,,,,,ESSFwc 5 /101
08232,,,,,,,,,,,ESSFdm   /101
08-2321,,,,,,,,,,,ESSFwc 6 /101
08-2336,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-2342,,,,,,,,,,,ESSFwm 4 /101
08-2345,,,,,,,,,,,ESSFwm 2 /101
08-2346,,,,,,,,,,,ESSFwm 2 /101
08-2349,,,,,,,,,,,ESSFwm 2 /101
08-2351,,,,,,,,,,,ESSFwm 2 /101
08-2352,,,,,,,,,,,ESSFwm 2 /101
08-2354,,,,,,,,,,,ESSFwm 4 /101
08-2355,,,,,,,,,,,ESSFwm 4 /101
08-2364,,,,,,,,,,,ESSFdc 1 /101
08-2365,,,,,,,,,,,ESSFdc 1 /101
08-2370,,,,,,,,,,,ESSFwc 1 /101
08-2374,,,,,,,,,,,ESSFwm 4 /101
08-2385,,,,,,,,,,,ESSFdc 1 /101
08-2387,,,,,,,,,,,ESSFwc 1 /101
08-2389,,,,,,,,,,,ICH mw 2 /101
08-2392,,,,,,,,,,,ESSFwc 1 /101
08-2395,,,,,,,,,,,ESSFwc 4 /101
08-2400,,,,,,,,,,,ESSFwm 4 /101
08244,,,,,,,,,,,ESSFdm   /101
08-5004,,,,,,,,,,,ESSFwm 4 /101
08-5008,,,,,,,,,,,ESSFwcw  /101
08-5009,,,,,,,,,,,ESSFwc 4 /101
08-5014,,,,,,,,,,,ESSFwc 4 /101
08-5025,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-5026,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-5028,,,,,,,,,,,ESSFwc 6 /101
08-5029,,,,,,,,,,,ICH mw 4 /101
08-5035,,,,,,,,,,,ESSFwcw  /101
08-5039,,,,,,,,,,,ESSFwc 1 /101
08-5040,,,,,,,,,,,ESSFwc 1 /101
08-5044,,,,,,,,,,,ESSFwm 4 /101
08-5049,,,,,,,,,,,ESSFwc 1 /101
08-5073,,,,,,,,,,,ICH xw   /101
08-5074,,,,,,,,,,,ICH xw   /101
08-5077,,,,,,,,,,,ICH mw 2 /101
08-5078,,,,,,,,,,,ESSFwc 1 /101
08-5079,,,,,,,,,,,ESSFdc 1 /101
08-5083,,,,,,,,,,,ICH mw 5 /101
08-5099,,,,,,,,,,,ESSFwm 4 /101
08-5108,,,,,,,,,,,ESSFwc 6 /101
08-5113,,,,,,,,,,,ESSFwc 6 /101
08-5116,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-5126,,,,,,,,,,,ESSFwc 6 /101
08-5142,,,,,,,,,,,ESSFwm 4 /101
08-5144,,,,,,,,,,,ESSFwcw  /101
08-5146,,,,,,,,,,,ESSFwc 4 /101
08-5152,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-5154,,,,,,,,,,,ESSFwc 6 /101
08-5163,,,,,,,,,,,ESSFdc 1 /101
08-5186,,,,,,,,,,,ESSFdw   /101
08-7814,,,,,,,,,,,ESSFwc 1 /101
08-7823,,,,,,,,,,,ESSFwm 4 /101
08-7824,,,,,,,,,,,ESSFwm 4 /101
08-7830,,,,,,,,,,,ESSFwm 1 /101
08-7837,,,,,,,,,,,ESSFwm 1 /101
08-7842,,,,,,,,,,,ESSFwm 1 /101
08-7843,,,,,,,,,,,ESSFwm 1 /101
08-7845,,,,,,,,,,,ESSFwm 1 /101
08-7850,,,,,,,,,,,ESSFwc 1 /101
08-7854,,,,,,,,,,,ICH wk 1 /101
08-7857,,,,,,,,,,,ESSFwc 1 /101
08-7859,,,,,,,,,,,ESSFwm 4 /101
08-7863,,,,,,,,,,,ICH mw 2 /101
08-7867,,,,,,,,,,,ESSFwc 4 /101
08-7868,,,,,,,,,,,ESSFwc 4 /101
08-7870,,,,,,,,,,,ESSFwc 1 /101
08-7871,,,,,,,,,,,ESSFwc 1 /101
08-7873,,,,,,,,,,,ESSFwcw  /101
08-7876,,,,,,,,,,,ESSFwc 4 /101
08-7877,,,,,,,,,,,ESSFwc 1 /101
08-7878,,,,,,,,,,,ESSFwc 1 /101
08-7885,,,,,,,,,,,ESSFwc 4 /101
08-7892,,,,,,,,,,,ESSFwc 1 /101
08-7896,,,,,,,,,,,ESSFdc 1 /101
08-7900,,,,,,,,,,,ESSFwc 4 /101
08-7901,,,,,,,,,,,ICH dm   /101
08-7991,,,,,,,,,,,ICH wk 1 /101
08-8003,,,,,,,,,,,ESSFwm 2 /101
08-8017,,,,,,,,,,,ESSFwm 1 /101
08-8022,,,,,,,,,,,ICH mk 4 /101
08-8028,,,,,,,,,,,ESSFwc 1 /101
08-8030,,,,,,,,,,,ICH wk 1 /101
08-8034,,,,,,,,,,,ESSFwc 1 /101
08-8042,,,,,,,,,,,ESSFwm 2 /101
08-8045,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-8048,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-8057,,,,,,,,,,,ESSFwc 1 /101
08-8059,,,,,,,,,,,ESSFwc 1 /101
08-8063,,,,,,,,,,,ESSFwcw  /101
08-8067,,,,,,,,,,,ICH wk 1 /101
08-8069,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-8073,,,,,,,,,,,ESSFwm 2 /101
08-8074,,,,,,,,,,,ESSFwm 2 /101
08-8090,,,,,,,,,,,ESSFwc 4 /101
08-8093,,,,,,,,,,,ESSFwc 4 /101
08-9213,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-9214,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-9222,,,,,,,,,,,ESSFwc 1 /101
08-9227,,,,,,,,,,,ESSFwc 4 /101
08-9229,,,,,,,,,,,ESSFwc 1 /101
08-9262,,,,,,,,,,,ESSFwc 4 /101
08-9263,,,,,,,,,,,ESSFwc 4 /101
08-9266,,,,,,,,,,,ESSFwc 1 /101
08-9280,,,,,,,,,,,ESSFwc 1 /101
08-9282,,,,,,,,,,,ICH dm   /101
08-D1,,,,,,,,,,,ESSFwc 6 /101
08-D115,,,,,,,,,,,ESSFwc 5 /101
08-D117,,,,,,,,,,,ESSFwc 5 /101
08-D14,,,,,,,,,,,ICH mw 4 /101
08-D24,,,,,,,,,,,ESSFwc 5 /101
08-D28,,,,,,,,,,,ICH mw 4 /101
08-D36,,,,,,,,,,,ESSFwmw-ESSFdmw/101
08-D42,,,,,,,,,,,ESSFwc 6 /101
08-D68,,,,,,,,,,,ESSFwc 6 /101
08-D89,,,,,,,,,,,ESSFdm   /101
08-D9,,,,,,,,,,,ICH mw 4 /101
08-D92,,,,,,,,,,,ESSFwc 5 /101
09104,,,,,,,,,,,CWH wh 2 /101
09176,,,,,,,,,,,SBS dk   /01
100280,,,,,,,,,,,SBS dk   /01
100350,,,,,,,,,,,CWH wh 1 /101
100351,,,,,,,,,,,CWH ws 1 /01
100550,,,,,,,,,,,CWH wh 1 /101
100580,,,,,,,,,,,SBS dk   /01
100650,,,,,,,,,,,CWH wh 2 /101
100751,,,,,,,,,,,CWH ws 1 /01
100780,,,,,,,,,,,SBPSmc   /01
100850,,,,,,,,,,,CWH wh 1 /101
100851,,,,,,,,,,,CWH ws 1 /01
100880,,,,,,,,,,,SBPSmc   /01
10095,,,,,,,,,,,ESSFwc 6 /103
100950,,,,,,,,,,,CWH wh 1 /101
10097,,,,,,,,,,,ESSFwmw-ESSFdmw/101
100980,,,,,,,,,,,SBPSmc   /01
101051,,,,,,,,,,,CWH ws 1 /01
101080,,,,,,,,,,,SBPSmc   /01
101180,,,,,,,,,,,CWH vm 1 /01
101251,,,,,,,,,,,CWH ws 2 /01
101350,,,,,,,,,,,CWH wh 1 /101
101380,,,,,,,,,,,CWH vh 2 /01
101580,,,,,,,,,,,CWH vm 1 /01
101780,,,,,,,,,,,CWH vm 1a/01
101850,,,,,,,,,,,MH  wh 2 /101
101851,,,,,,,,,,,CWH ws 2 /01
101950,,,,,,,,,,,CWH wh 2 /101
102080,,,,,,,,,,,CWH vh 2 /01
102150,,,,,,,,,,,CWH vh 2 /01
102151,,,,,,,,,,,CWH ws 1 /01
102250,,,,,,,,,,,CWH vh 2 /01
102350,,,,,,,,,,,CWH vh 2 /01
102550,,,,,,,,,,,CWH vh 2 /01
102651,,,,,,,,,,,CWH ws 1 /01
102750,,,,,,,,,,,CWH vh 2 /01
102780,,,,,,,,,,,SBS mc 2 /01
102850,,,,,,,,,,,CWH vh 2 /01
102980,,,,,,,,,,,SBS mc 2 /01
103080,,,,,,,,,,,SBS mc 2 /01
103151,,,,,,,,,,,CWH ws 1 /01
103180,,,,,,,,,,,SBS mc 2 /01
103280,,,,,,,,,,,SBS mc 2 /01
103580,,,,,,,,,,,SBS mc 2 /01
103751,,,,,,,,,,,CWH ws 1 /01
103980,,,,,,,,,,,SBS mc 2 /01
104080,,,,,,,,,,,SBS mc 2 /01
104180,,,,,,,,,,,SBS mc 2 /01
104280,,,,,,,,,,,SBS mc 2 /01
104551,,,,,,,,,,,CWH ws 1 /01
104651,,,,,,,,,,,CWH ws 1 /01
104951,,,,,,,,,,,CWH ws 1 /01
104980,,,,,,,,,,,CWH ws 2 /01
105079,,,,,,,,,,,SBPSmc   /01
105151,,,,,,,,,,,CWH ws 1 /01
105780,,,,,,,,,,,ICH vc   /012
106080,,,,,,,,,,,ICH mc 1 /01
106180,,,,,,,,,,,CWH wm   /01
106250,,,,,,,,,,,CWH vh 2 /01
106280,,,,,,,,,,,CWH wm   /01
106380,,,,,,,,,,,BWBSdk   /101
106880,,,,,,,,,,,ICH mc 1 /01
107450,,,,,,,,,,,CWH vh 2 /01
107479,,,,,,,,,,,SBPSmc   /01
107550,,,,,,,,,,,CWH vh 2 /01
107579,,,,,,,,,,,SBPSmc   /01
108280,,,,,,,,,,,SBS mc 2 /01
108351,,,,,,,,,,,CWH ws 1 /01
108380,,,,,,,,,,,SBS mc 2 /01
108450,,,,,,,,,,,CWH vh 2 /01
108480,,,,,,,,,,,SBS mc 2 /01
108580,,,,,,,,,,,SBS mc 2 /01
