"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"84","9523305",0,0,0,0,15,15.5,16,15,0,0,30.5,0.5,"ICHxw","ICH xw","ICH ","2",2.5,2,"3MD","ICH xw   /Gb03"
"85","9523307",0,0,66,0,1,0,1,0,0.5,0,162,0,"ICHxw","ICH xw","ICH ","5",4.5,6,"6M","ICH xw   /111"
"86","955-C",0,0,0,0,0.1,17,9,0,0,0,3,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"2VD","ICH xw   /103"
"87","964105",0,0,0,0,1,7,21.5,1,0,0,3,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"3MD","ICH xw  a /Gb06"
"88","964224",0,0,0,0,0,5,24,6.5,0,10,90.5,1,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /104"
"89","964225",0,0,0,0,0,13.5,36,8,0,5,106.5,0,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /101"
"90","964226",0,0,0,0,0,24.5,36,4,0,0,52,1.5,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"3MD","ICH xw  a/104"
"91","964230",0,0,0,0,0,0,2,8.5,0,2,114,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101"
"92","964232",0,0,0,0,0,0,0,11,0,0,92,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101"
"93","964233",0,0,8,0,0,0,1,0.5,0,0,115.5,0,"ICHxw","ICH xw","ICH ","5",4.5,6,"5F","ICH xw   /111"
"94","964282",0,0,0,0,1,18,30.5,1,0,0,10.5,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"3MD","ICH xw  a /Gb06"
"95","964283",0,0,0,0.5,22.5,12.5,13,1,0,0,7.5,2,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"2VD","ICH xw  a /Gb03"
"96","98--254",0,0,0,0,0,0,0,0,0,0,131.6,0,"ICHxw","ICH xw","ICH ","6",6,7,"5F","ICH xw - SIBEC"
"97","A791200",0,0,4,0,0,0,0,25,0,0,122.5,0,NA,NA,NA,NA,NA,NA,"4SD","ICH xw   /110"
"98","ARS-105",0,0,0,0,0,0,0,1.301,0,0,107.2,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"5F","ICH xw   /101$"
"99","KL-71",0,0,0,0,10.7,18.5,62.6,0,0,0,20,0,"ICHxw","ICH xw","ICH ","2",2.5,2,"3MD","ICH xw   /103"
"100","KL-72",0,0,0,0,0,0,12.1,0,0,0,110.3,0,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /101"
"101","KL-78",0,0,0,0,0.7,10,37,7,0,0,30,0,"ICHxw","ICH xw","ICH ","2",2.5,2,"3MD","ICH xw   /xGb03"
"102","KN02439",0,0,0,0,0,0.2,10.01,0,0,0,54.1,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"3MD","ICH xw   /101$"
"103","KN02440",0,0,0,0,0,0.1,5.1,0.01,0,0,57.25,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101$"
"104","N073378",0,0,0,0,0.5,20,28.5,25.501,0,0,50.4,0.5,"ICHxw","ICH xw","ICH ","2",2.5,2,"3MD","ICH xw   /103"
"105","N074247",0,0,0,0,3.02,14.8,4.1,47,0,0,3,2.2,NA,NA,NA,NA,NA,NA,"4SD","ICH xw   /Ro09.1"
"106","N074256",0,0,0,0,0,30,40.7,10.37,0,0,44.3,0,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /104"
"107","N074257",0,0.002,0,0,21,0,18.72,0.01,0,0,100.04,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"1ED","ICH xw   /101"
"108","N074269",0,0,0,0,0.1,0.2,7.3,0.15,0,0,93.93,0,"ICHxwa","ICH xw  a","ICH ","4",NA,NA,"4SD","ICH xw  a/101"
"109","N074270",0,1.5,19.701,0,0.5,0,2.42,1.002,0,0,142.331,0,"ICHxwa","ICH xw  a","ICH ","5",NA,NA,"6M","ICH xw   /111"
"110","N074271",0,0,0.01,0,0,18,41.64,0.024,0,0,70.896,0,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /104"
"111","N074272",0,0,0,0,7.012,27.47,38.152,0.042,0,0,5.11,0,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /103"
"112","N074273",0,0,0,0.1,15.61,21.24,8.602,0.05,0,0,16.47,0.001,"ICHxw","ICH xw","ICH ","2",2.5,2,"2VD","ICH xw   /102"
"113","N074274",0,0,0,0,0,0,1.19,35.32,0,0,67.27,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101"
"114","N074276",0,0,0.02,0,0,3.02,35.1,0.23,0,0,70.28,0,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /104"
"115","N074402",0,0,0,0,0.1,2.1,23.751,3.02,0,0,39.421,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"3MD","ICH xw  a/104"
"116","N074443",0,0,0,0,0,0,1.502,10.22,0,0,108.15,0,"ICHxwa","ICH xw  a","ICH ","4",NA,NA,"4SD","ICH xw   /101"
"117","N074444",0,0,0.05,0,1.5,3.1,29.03,0.102,0,0,127.77,0,"ICHxwa","ICH xw  a","ICH ","4",NA,NA,"3MD","ICH xw  a/101"
"118","N074445",0,0,0,0,1,45.21,48.15,1.01,0,0,30.111,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"3MD","ICH xw  a/104"
"119","N076049",0,0,0,0,0,12.4,28.8,0.15,0,0,47.41,0,"ICHdw1","ICH dw 1","ICH ","3",3,3,"3MD","ICH xw   /103"
"120","N076050",0,0,0.1,0,0.5,0,1.81,0.2,0,0,81.51,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"5F","ICH xw   /101"
"121","N076053",0,0,0,0,0,0,8.3,9.4,0,0,154.01,0.1,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101"
"122","P783876",0,0,0,0,0,0,11,8,0,0,115,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"3MD","ICH xw   /101"
"123","Y791354",0,0,0,15,10,22,13.5,0,0,0,8.5,0,NA,NA,NA,NA,NA,NA,"2VD","ICH xw   /xGb03"
"124","Y812008",0,0,0,2,52,41,30,1,0,0,18,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"2VD","ICH xw   /102"
"125","Y812010",0,0,0,0,1,66,56,3,0,0,46,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"2VD","ICH xw  a/103"
"126","Y812207",0,0,0,1,0,3,69,4,0,0,33,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"3MD","ICH xw  a/104"
"127","Y812208",0,0,0,5,5,3,79,1,0,0,16,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"3MD","ICH xw  a/103"
"128","Z783861",0,0,1,0,0,0,14,11,0,0,57,0,NA,NA,NA,NA,NA,NA,"3MD","ICH xw   /101"
"129","Z793877",0,0,1,0,0,0,6,15,0,0,332.5,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /110"
"130","Z812002",0,0,0,4,30,30,102,8,0,0,6,0,"ICHxwa","ICH xw  a","ICH ","1",NA,NA,"3MD","ICH xw  a/103"
"131","Z812003",1,0,0,0,1,19,39,10,0,0,94,0,"ICHxwa","ICH xw  a","ICH ","4",NA,NA,"3MD","ICH xw   /104"
"132","Z812004",0,0,0,0,1,41,63,17,0,0,94,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"3MD","ICH xw   /104"
"133","Z812060",0.5,0,45,0,0,0,3.5,7.5,0,0,145.5,0,"ICHxw","ICH xw","ICH ","5",4.5,6,"6M","ICH xw   /111"
"134","Z812200",0,0,3,0,0,3,5,32,0,0,88.5,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101"
