"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"3915","K02-614",0,41.5,0,0,0,0,1,66,0,0,76.5,0,"ESSFwc4","ESSFwc 4","ESSF","3",5,5,"4SD","ESSFwcw  /101"
"3916","K02-621",17.6,59,0,0,0,0,1.5,1.5,0,0,32.1,0,"ESSFwcw","ESSFwcw","ESSF","4",NA,NA,"5F","ESSFwcw  /101"
"3917","K02-624",6,0.5,0,0,0,0,0,18,0,0,167,0,"ESSFwcw","ESSFwcw","ESSF","4",NA,NA,"4SD","ESSFwcw  /101"
"3918","K02-632",3,0,1,0,0,0,4,17.5,0,0,70,0,"ICHdw4","ICH dw 4","ICH ","4",NA,NA,"4SD","ICH mw 2k/101"
"3919","K02-648",0,6,6,0,0,0,3.5,15,0,2,162,0,NA,NA,NA,NA,NA,NA,"5F","ESSFdc 3 /101"
"3920","K02-653",0,1,0,0,0,0,1,17.5,0,0,141.6,0,NA,NA,NA,NA,NA,NA,"4SD","SBS mm /101"
"3921","K02-654",0,2,0,0,0,0,7.5,27.5,0,0,120.6,0,"SBSmm","SBS mm","SBS ","4",4.5,5,"4SD","SBS mm /101"
"3922","K02-658",0,0.5,0,0,0,0,0.5,2,0,0,99.5,0,NA,NA,NA,NA,NA,NA,"5F","ICH mk 2 /101"
"3923","K02-661",3.5,21.5,0,0,0,0.5,0,26,0,0,31.1,0,"ESSFwcp","ESSFwcp","ESSF","3",NA,NA,"4SD","ESSFwcw  /101"
"3924","K02-673",0,0.5,0.5,0,0,0,2,1,0,0,80,0,"ICHmw5","ICH mw 5","ICH ","4",NA,NA,"5F","ICH mw 2k/101"
