"84","ALOPGEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"85","ALOPPRA",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"86","ALYSALY",9,2,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"87","ALYSDES",1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"88","AMBLSER",NA,NA,NA,1,NA,NA,4,4,2,4,3,11,7,5,1,9,13
"89","AMBLYSE",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"90","AMBLYST",NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,3,3,1,6,4
"91","AMBRCHA",NA,NA,NA,NA,NA,NA,3,5,NA,NA,2,NA,1,NA,NA,NA,NA
"92","AMELALN",279,103,249,461,673,876,1130,1021,585,333,226,165,155,38,14,35,1550
"93","AMELANC",NA,NA,1,NA,1,1,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA
"94","AMELCUS",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","AMMANNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"96","AMMOARE",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","AMPHLAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"98","AMPHNEV",NA,NA,NA,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,2,NA,5
"99","AMSIINT",1,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"100","AMSILYC",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","AMSINCK",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"102","ANACMEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","ANAPHAL",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"104","ANAPMAR",1,2,8,7,18,30,67,77,108,84,52,46,86,9,11,16,164
"105","ANASTRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4
"106","ANDRBLY",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"107","ANDRCHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"108","ANDREAE",NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2
"109","ANDRMEG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","ANDRNIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"111","ANDROME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"112","ANDRPOL",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,13,4,8,158,45
"113","ANDRRUP",1,1,NA,8,3,13,4,4,NA,2,NA,1,1,NA,NA,NA,10
"114","ANDRSEP",9,5,9,14,4,14,9,3,1,NA,NA,NA,NA,NA,NA,NA,31
"115","ANEMCYL",NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","ANEMDRU",NA,NA,1,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,24
"117","ANEMLYA",NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,1,2,NA,NA,NA,2
"118","ANEMMUL",9,2,29,78,73,101,86,62,30,21,12,11,11,NA,NA,4,347
"119","ANEMNAR",NA,NA,NA,NA,NA,1,2,1,NA,NA,1,1,NA,NA,NA,NA,103
"120","ANEMONE",NA,1,1,3,5,7,7,5,2,13,1,3,4,4,NA,NA,32
"121","ANEMPAR",NA,NA,NA,1,NA,3,4,16,10,5,15,9,6,1,1,15,244
"122","ANEORIC",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,8,3,3,17,34
"123","ANEOSIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"124","ANEUPIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"125","ANGEARG",NA,NA,NA,NA,NA,1,10,7,16,2,15,16,31,13,5,17,58
"126","ANGEDAW",NA,NA,NA,NA,NA,NA,NA,3,3,1,1,NA,6,NA,2,NA,8
"127","ANGEGEN",NA,NA,NA,NA,NA,1,3,3,8,17,11,11,71,24,23,91,27
"128","ANGELIC",NA,NA,NA,NA,NA,1,2,4,2,3,5,3,10,7,6,7,13
"129","ANGELUC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA,3,10,9
"130","ANISMAD",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
"131","ANOMFIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"132","ANTEANA",1,NA,NA,7,13,6,4,NA,NA,NA,NA,1,NA,NA,NA,NA,3
"133","ANTEDEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"134","ANTEDIM",92,36,39,50,9,18,4,1,1,NA,NA,NA,NA,NA,2,NA,29
"135","ANTEHOW",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"136","ANTELAN",2,NA,1,NA,1,3,7,8,2,6,1,1,3,NA,1,2,479
"137","ANTELUZ",1,NA,NA,4,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2
"138","ANTEMED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"139","ANTEMIC",51,46,78,146,93,118,85,50,25,20,17,2,13,NA,NA,1,397
"140","ANTEMON",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,160
"141","ANTENEG",10,7,50,80,148,167,171,75,43,11,19,3,3,1,NA,3,253
"142","ANTENNA",15,7,24,81,57,70,52,15,14,7,3,2,7,1,1,1,122
"143","ANTEPAR",10,17,21,44,43,16,10,7,2,4,NA,1,1,NA,NA,NA,46
"144","ANTEPUL",7,2,11,15,15,15,14,15,5,21,5,11,13,3,NA,8,40
"145","ANTERAC",9,8,27,74,112,182,171,111,76,16,11,4,6,1,NA,NA,378
"146","ANTEROS",6,1,3,11,3,8,5,3,2,NA,NA,NA,NA,NA,NA,NA,48
"147","ANTEUMB",68,47,91,149,79,104,39,27,18,7,2,3,1,1,3,2,194
"148","ANTHELI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"149","ANTHHIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"150","ANTHJUL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"151","ANTHJUR",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6
"152","ANTHMON",NA,NA,NA,1,1,5,7,10,12,11,1,2,1,NA,NA,NA,157
"153","ANTHODO",NA,NA,5,6,8,7,5,NA,NA,2,1,NA,1,NA,NA,NA,7
"154","ANTICAL",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"155","ANTICUR",NA,NA,NA,NA,1,NA,1,1,2,4,1,5,13,NA,NA,NA,4
"156","ANTIELE",3,3,3,12,13,22,20,31,17,4,8,8,3,4,2,9,124
"157","ANTIOCC",NA,NA,NA,1,6,10,14,21,40,12,28,14,27,6,8,8,97
"158","ANTITRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"159","AONGLON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"160","APERINT",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","APHRESC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"162","APIACEA",1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,3,2
"163","APOCAND",32,11,51,115,109,126,76,55,30,4,2,1,3,NA,NA,NA,203
"164","APOCCAN",NA,NA,1,2,3,2,5,1,NA,NA,3,NA,NA,NA,1,NA,1
"165","APOCYNU",NA,NA,4,2,2,1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"166","APOMPUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"167","AQUIBRE",NA,NA,NA,NA,NA,4,NA,6,1,NA,2,3,3,NA,NA,NA,2
"168","AQUIFLA",NA,NA,NA,1,1,2,6,7,20,5,11,2,2,1,1,NA,55
"169","AQUIFOR",NA,NA,1,1,12,23,76,98,83,47,62,33,55,6,12,5,130
"170","AQUILEG",NA,NA,NA,NA,1,4,5,5,7,1,6,6,NA,2,1,NA,19
"171","ARABHOL",142,52,111,138,75,73,26,14,3,2,NA,NA,3,NA,NA,NA,188
"172","ARABIDO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"173","ARABIS",11,3,13,16,11,12,3,14,3,4,2,NA,NA,NA,NA,1,46
"174","ARABLYT",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,13
"175","ARABNUT",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,1,NA,NA,NA,1
"176","ARABTHA",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"177","ARALIA",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
